Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71367764
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
491.0,26.0,123.0,201.0,3.93,822.0,699.0,28,57.915983999999995
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3,9.307926
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.19685056
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.43554904
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.23989776
290.35,0.0,96.18,168.08,9.41,961.18,865.0,3,22.50449664
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.41564416
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72253096
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.38520732
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.57526284
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28,37.43165204
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,28,41.40992856
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.363393916
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.675936308
491.0,26.0,123.0,210.0,3.93,882.0,699.0,28,55.55108132
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.49592324
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,14,29.59230992
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3,23.639177145812038
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.39665864
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91369566
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.287661424
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.698299404
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,17.165883972
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.569747032
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,28.99936056
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7,35.754255430541356
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17017076
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.69717028
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,14.79615496
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14,25.48303296
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.98790924
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.7117392
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100,56.06129356
250.0,0.0,95.69,191.84,5.33,948.9,857.2,56,39.64487
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120,39.38286912
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100,42.34761592
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35047372
424.0,22.0,132.0,168.0,8.92,822.0,750.0,56,74.3649114581204
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53077668
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,35.86585204399999
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.322814728
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72331036
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,35.9561734
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.923778
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100,56.8128224
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3,13.52062436
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.082437432
451.0,0.0,0.0,165.0,11.25,1030.0,745.0,28,78.80021203999998
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.69782984
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.05855560000001
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41427518
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.443632932
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.49916068
516.0,0.0,0.0,162.0,8.26,801.0,802.0,28,41.36856
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.917063088000003
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,36.14922668
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,17.95395504
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.2946762
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56,39.58971192
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69039536
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28,37.91428524
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56,68.75060685418796
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
387.0,20.0,94.0,157.0,13.93,938.0,845.0,28,46.68441996
446.0,24.0,79.0,162.0,11.64,967.0,712.0,28,51.021224
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77327244
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,14,16.87837248
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,14,33.72916592
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.251958604
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3,15.60973664
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,56,53.46196904
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,50.732333556
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28,45.93978588
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08313688
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87447548
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100,56.7438748
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.934619796
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648
159.0,187.0,0.0,176.0,11.0,990.0,789.0,28,32.763899519999995
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,39.435269296
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.36856
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28,27.923778
446.0,24.0,79.0,162.0,11.61,967.0,712.0,56,61.06688932
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28,37.813621744
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,18.28490352
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.664355176
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14492992
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28,56.83350668
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28,51.3314882
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.503987012
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,43.5748832
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28,49.24927068
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,24.00065956
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.97841648
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75116932
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.337723399999998
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.89607912
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14008364399999
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28,26.40003604
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14,28.6822016
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.654902304
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,32.102692036
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28,36.4388066
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,37.32823064
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726016
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.41734292
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,52.446370892
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28,43.73346268
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.732763231999996
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3009114
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.720462532
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.42637608800001
355.0,19.0,97.0,145.0,12.25,967.0,871.0,28,55.45455468
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.746162964
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3,23.80071152
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.46598588
387.0,20.0,94.0,157.0,14.32,938.0,845.0,28,50.23522136
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61287436
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7,13.089012384
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28,38.50033984
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.234302000000003
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.22532884
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.306517131999996
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.542997428
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28,37.2661778
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.033934256
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,56,51.25564584
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.10960674
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.30117120000001
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93419012
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,11.169511199999999
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.69860924
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.275580636
